"asset_id","family","role","role_verdict","lifecycle_status","stage","original_path","intake_relative_path","bytes","sha256","best_authority","outstanding_action"
"LB_PANEL_STILLAGE_THREE_HIGH_INTAKE_V001","Same-design empty/full three-high panel stillage","stackable panel stillage","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","generate","C:/Users/greg_/Downloads/Meshy_AI_Industrial_Adjustable_0812065855_generate.blend","SourceAssets/Candidate/WeldShop/PanelStillage_ThreeHigh_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Industrial_Adjustable_0812065855_generate.blend","153184155","D17690B2EC50E143A251CDCFB3E59832DA216337542F9476C182A85991FBB709","False","Author one semantic stillage asset with payload state plus four top/bottom stack locators and validate three-high loaded physics."
"LB_PANEL_STILLAGE_THREE_HIGH_INTAKE_V001","Same-design empty/full three-high panel stillage","stackable panel stillage","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","part-segmentation","C:/Users/greg_/Downloads/Meshy_AI__0812065910_part-segmentation.blend","SourceAssets/Candidate/WeldShop/PanelStillage_ThreeHigh_Intake_v001/Authority/UnverifiedSegmentationBranch/Meshy_AI__0812065910_part-segmentation.blend","237679187","AECD47080780AE7E80CD452F6E8E12D0476E4F1CC41D1EB2998EE2F85E02BF69","False","Author one semantic stillage asset with payload state plus four top/bottom stack locators and validate three-high loaded physics."
"LB_PANEL_STILLAGE_THREE_HIGH_INTAKE_V001","Same-design empty/full three-high panel stillage","stackable panel stillage","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","texture","C:/Users/greg_/Downloads/Meshy_AI_Industrial_Adjustable_0812070022_texture.blend","SourceAssets/Candidate/WeldShop/PanelStillage_ThreeHigh_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Industrial_Adjustable_0812070022_texture.blend","271187619","6443B6B34D104A65566E11B85656B00EFB5D2E30A895C9E5C074473802C12B8B","True","Author one semantic stillage asset with payload state plus four top/bottom stack locators and validate three-high loaded physics."
"LB_SPOT_C_GUN_INTAKE_V002","Standalone resistance spot-weld C-gun","standalone spot-weld C-gun tool","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","part-segmentation","C:/Users/greg_/Downloads/Meshy_AI__0812070354_part-segmentation.blend","SourceAssets/Candidate/WeldShop/SpotRobot_v002/Authorities/UnverifiedSegmentationBranch/Meshy_AI__0812070354_part-segmentation.blend","238579780","7FE66F32E6E987E87149330F0B08D652E0D222E3AFCAEB24A4B65C9585986F34","False","Build optimized replaceable C-gun with flange/electrode sockets and servo slide; retain current tested v001 tool until clearance gate passes."
"LB_SPOT_C_GUN_INTAKE_V002","Standalone resistance spot-weld C-gun","standalone spot-weld C-gun tool","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","texture","C:/Users/greg_/Downloads/Meshy_AI_Industrial_Spot_Weldi_0812070409_texture.blend","SourceAssets/Candidate/WeldShop/SpotRobot_v002/Authorities/TexturedBranch/Meshy_AI_Industrial_Spot_Weldi_0812070409_texture.blend","277472052","537F29C00318B4F7E641D88C9C53B391CC44371D418D13CDC1E4D28BB6F313DE","True","Build optimized replaceable C-gun with flange/electrode sockets and servo slide; retain current tested v001 tool until clearance gate passes."
"LB_VACUUM_PANEL_PICK_EOAT_INTAKE_V001","Universal vacuum panel-pick EOAT","standalone automotive panel-pick vacuum end-effector","CONCEPT_PASS_EXACT_BLOCKED","REFERENCE_ONLY_RUNTIME_BLOCKED","generate","C:/Users/greg_/Downloads/Meshy_AI_Industrial_Vacuum_Lif_0812065446_generate.blend","SourceAssets/Candidate/WeldShop/VacuumPanelPickEOAT_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Industrial_Vacuum_Lif_0812065446_generate.blend","155425598","7CF63B8A1DB4B7A0BA9866DA421D150EB4E70988503A867138BE2E6158AA3087","False","Rebuild from six visible cups to the specified eight, with flange root, arm pivots, contact sockets, collision and LODs."
"LB_VACUUM_PANEL_PICK_EOAT_INTAKE_V001","Universal vacuum panel-pick EOAT","standalone automotive panel-pick vacuum end-effector","CONCEPT_PASS_EXACT_BLOCKED","REFERENCE_ONLY_RUNTIME_BLOCKED","part-segmentation","C:/Users/greg_/Downloads/Meshy_AI__0812065500_part-segmentation.blend","SourceAssets/Candidate/WeldShop/VacuumPanelPickEOAT_Intake_v001/Authority/UnverifiedSegmentationBranch/Meshy_AI__0812065500_part-segmentation.blend","234658329","2DACE09B2C2B2320B6552026A7F2EA7EDC2C9AD0CB34E59A89B5961CB9DA9EFB","False","Rebuild from six visible cups to the specified eight, with flange root, arm pivots, contact sockets, collision and LODs."
"LB_VACUUM_PANEL_PICK_EOAT_INTAKE_V001","Universal vacuum panel-pick EOAT","standalone automotive panel-pick vacuum end-effector","CONCEPT_PASS_EXACT_BLOCKED","REFERENCE_ONLY_RUNTIME_BLOCKED","texture","C:/Users/greg_/Downloads/Meshy_AI_Industrial_Vacuum_Lif_0812065509_texture.blend","SourceAssets/Candidate/WeldShop/VacuumPanelPickEOAT_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Industrial_Vacuum_Lif_0812065509_texture.blend","276481617","2AD0E53C1A65EF4F881858A47F68C180B2DE310762A06E1C3FB438535667F064","True","Rebuild from six visible cups to the specified eight, with flange root, arm pivots, contact sockets, collision and LODs."
"LB_VISION_QUALITY_GATE_INTAKE_V001","Body geometry and quality inspection gate","drive-through BIW vision/metrology gate","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","generate","C:/Users/greg_/Downloads/Meshy_AI_Industrial_Vision_Gat_0812065048_generate.blend","SourceAssets/Candidate/WeldShop/VisionQualityGate_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Industrial_Vision_Gat_0812065048_generate.blend","153952850","1AF303200B02F439529117FD545BC4023AFA0FCBB26484493D5E7633CA55238E","False","Modular rebuild at approved 4.5 x 1.2 x 3.2 m envelope with aimed scanner heads and gameplay trigger."
"LB_VISION_QUALITY_GATE_INTAKE_V001","Body geometry and quality inspection gate","drive-through BIW vision/metrology gate","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","part-segmentation","C:/Users/greg_/Downloads/Meshy_AI__0812065058_part-segmentation.blend","SourceAssets/Candidate/WeldShop/VisionQualityGate_Intake_v001/Authority/UnverifiedSegmentationBranch/Meshy_AI__0812065058_part-segmentation.blend","232102457","BF97A4D829CE9C686DFD9CAA8A945459EF86CA80BE28E2EF7E7FE2CE5EFC708D","False","Modular rebuild at approved 4.5 x 1.2 x 3.2 m envelope with aimed scanner heads and gameplay trigger."
"LB_VISION_QUALITY_GATE_INTAKE_V001","Body geometry and quality inspection gate","drive-through BIW vision/metrology gate","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","texture","C:/Users/greg_/Downloads/Meshy_AI_Industrial_Vision_Gat_0812065138_texture.blend","SourceAssets/Candidate/WeldShop/VisionQualityGate_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Industrial_Vision_Gat_0812065138_texture.blend","273679749","31C592800E448018E7388F089AFE73FFC7456B34982F3C0A03CFB3BB678EC254","True","Modular rebuild at approved 4.5 x 1.2 x 3.2 m envelope with aimed scanner heads and gameplay trigger."
