"asset_id","display_name","domain","source_family","supplied_today","role","role_verdict","lifecycle_status","runtime_status","source_file_count","best_authority_relative_path","manifest_relative_path","audit_relative_path","unreal_paths","outstanding_action"
"LB_FINISHED_PANEL_STILLAGE_V004","Press-shop finished-panel stillage runtime candidate","PressShop/Logistics","FinishedPanelStillage","False","modular finished-panel stillage","PASS","RUNTIME_CANDIDATE_NOT_IMPORTED","PREFLIGHTED_UNREAL_UNVERIFIED","0","SourceAssets/Candidate/PressShop/FinishedPanelStillage/Working/FP_STILLAGE_ModularGuides_v004.blend","SourceAssets/Candidate/PressShop/FinishedPanelStillage/Audit/implementation_manifest_v004.json","SourceAssets/Candidate/PressShop/FinishedPanelStillage/Audit/UNREAL_PIPELINE_PREFLIGHT_v004.json","","Reconcile with new three-high same-empty/full stillage authority and validate stacking/payload state."
"LB_MR01_MAINTENANCE_ROBOT","MR01 maintenance robot","SupportRobots","LB_MR01_MaintenanceRobot","False","mobile autonomous maintenance robot","PASS","UNREAL_IMPORTED_CANDIDATE","CANDIDATE_V022_CONTENT_PRESENT","0","SourceAssets/Robots/LB_MR01_MaintenanceRobot/Blender/Candidate_v022/LB_MR01_DockFitCandidate_v022.blend","SourceAssets/Robots/LB_MR01_MaintenanceRobot/Validation/Candidate_v013/LB_MR01_RuggedExportCandidate_v013_EVIDENCE_MANIFEST.json","SourceAssets/Robots/LB_MR01_MaintenanceRobot/Data/AUTOMATED_PRESS_SHOP_MAINTENANCE_AUTHORITY_v001.json","Content/LineBoss/Robots/Maintenance/MR01/Candidate_v022","Promote one release authority and finish orange-helmet/brighter full-body treatment validation."
"LB_PANEL_STILLAGE_THREE_HIGH_INTAKE_V001","Same-design empty/full three-high panel stillage","WeldShop/Logistics","Meshy Industrial Adjustable 08120658-08120700","True","stackable panel stillage","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","NOT_IMPORTED","3","SourceAssets/Candidate/WeldShop/PanelStillage_ThreeHigh_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Industrial_Adjustable_0812070022_texture.blend","SourceAssets/Candidate/WeldShop/PanelStillage_ThreeHigh_Intake_v001/MANIFEST_v001.json","SourceAssets/Candidate/WeldShop/PanelStillage_ThreeHigh_Intake_v001/Audit/PANEL_STILLAGE_AUDIT_v001.md","","Author one semantic stillage asset with payload state plus four top/bottom stack locators and validate three-high loaded physics."
"LB_POWERED_CONVEYOR_V001","Modular powered roller and belt conveyor kit","FactoryLogistics","PoweredConveyor_v001","False","modular powered conveyor","PASS","RUNTIME_CANDIDATE_NOT_IMPORTED","NOT_IMPORTED_ROOT_CLEARANCE_REQUIRED","0","SourceAssets/Candidate/FactoryLogistics/PoweredConveyor_v001/Working/LB_PoweredConveyor_ModularKit_v001.blend","SourceAssets/Candidate/FactoryLogistics/PoweredConveyor_v001/manifest.json","SourceAssets/Candidate/FactoryLogistics/PoweredConveyor_v001/Audit/roundtrip_validation.json","","Root-clearance and Unreal import/animation validation."
"LB_PR004_ROBOTIC_DEPACK","PR004 robotic depack robot","PressShop","PR004 RoboticDepackRobot","False","coil wrap depack robot and tools","PASS","CURATED_SOURCE_AUTHORITY","SOURCE_AUTHORITY","0","SourceAssets/PR004/RoboticDepackRobot","SourceAssets/PR004/RoboticDepackRobot/pr004_robotic_depack_robot_candidate_v002_manifest.json",,"","Track against current Press Shop runtime implementation."
"LB_PR005_PAYOFF_COIL","PR005 payoff/decoiler subsystem","PressShop","PR005 PayoffCoil and related modules","False","coil payoff/decoiling machine modules","PASS","CURATED_SOURCE_AUTHORITY","SOURCE_AUTHORITY","0","SourceAssets/PR005/PayoffCoil","SourceAssets/PR005/PayoffCoil/module_manifest.json",,"","Keep related Headstock/Mandrel/PeelerThreader manifests linked through manifest index."
"LB_PR006_PRECISION_LEVELLER","PR006 precision cassette leveller","PressShop","PrecisionCassetteLeveller Candidate_v001","False","precision strip levelling machine","PASS","CURATED_SOURCE_AUTHORITY","SOURCE_AUTHORITY","0","SourceAssets/PR006/PrecisionCassetteLeveller/Candidate_v001/PR006_PrecisionCassetteLeveller_Candidate_v001.blend","SourceAssets/PR006/PrecisionCassetteLeveller/Candidate_v001/pr006_precision_leveller_module_manifest_v001.json","SourceAssets/PR006/PrecisionCassetteLeveller/Candidate_v001/pr006_precision_leveller_source_audit_v001.json","","Track release-detail overlay and runtime implementation separately."
"LB_PR007_WASHER_LUBE","PR007 washer/lube unit","PressShop","WasherLubeUnit Candidate_v001","False","strip washer and lubrication machine","PASS","CURATED_SOURCE_AUTHORITY","SOURCE_AUTHORITY","0","SourceAssets/PR007/WasherLubeUnit/Candidate_v001","SourceAssets/PR007/WasherLubeUnit/Candidate_v001/pr007_washer_lube_module_manifest_v001.json","SourceAssets/PR007/WasherLubeUnit/Candidate_v001/pr007_washer_lube_source_audit_v001.json","","Track release-detail authority and runtime implementation."
"LB_PR008_SERVO_BLANKING","PR008 servo blanking line","PressShop","ServoBlankingLine Candidate_v001","False","servo feed, prepunch, shear and discharge line","PASS","CURATED_SOURCE_AUTHORITY","SOURCE_AUTHORITY","0","SourceAssets/PR008/ServoBlankingLine/Candidate_v001","SourceAssets/PR008/ServoBlankingLine/Candidate_v001/pr008_servo_blanking_module_manifest_v001.json","SourceAssets/PR008/ServoBlankingLine/Candidate_v001/pr008_servo_blanking_source_audit_v001.json","","Keep detailed module manifests discoverable through manifest index."
"LB_PR009_AUTOMATED_BLANK_STACKER","PR009 automated blank stacker","PressShop","AutomatedBlankStacker Candidate_v002","False","automated blank stacking and discharge machine","PASS","CURATED_SOURCE_AUTHORITY","CANDIDATE_V002","0","SourceAssets/PR009/AutomatedBlankStacker/Candidate_v002","SourceAssets/PR009/AutomatedBlankStacker/Candidate_v002/CANONICAL_INTAKE_MANIFEST_v002.json","SourceAssets/PR009/AutomatedBlankStacker/Candidate_v002/09_HANDOFF_MANIFEST.json","","Track Unreal staging/promotion authority."
"LB_PR010_FOUR_LANE_BUFFER","PR010 four-lane blank buffer","PressShop","FourLaneBuffer ReleaseArt_v103","False","four-lane blank buffer and transfer zone","PASS","CURATED_SOURCE_AUTHORITY","RELEASE_ART_V103","0","SourceAssets/PR010/FourLaneBuffer/ReleaseArt_v103","SourceAssets/PR010/FourLaneBuffer/ReleaseArt_v103/PR010_RELEASE_ART_MANIFEST_v103.json",,"","Maintain navigation/collision release gates and packaged validation."
"LB_PRESS_TRAIN_A_COMPLETE_V660","Complete Press Train A source assembly","PressShop/PressTrains","CompleteTrainAAssembly_v660","False","complete staged press train source assembly","PASS","CURATED_SOURCE_AUTHORITY","DEVELOPER_VALIDATION_CONTENT_PRESENT","0","SourceAssets/Candidate/PressTrains/TrainA/CompleteTrainAAssembly_v660/CA_MW_PressTrainA_CompleteAssembly_v660.blend","SourceAssets/Candidate/PressTrains/TrainA/CompleteTrainAAssembly_v660/ASSEMBLY_MANIFEST_v660.json",,"Content/LineBoss/Developer/Validation/PressTrains/CompleteTrainA_v662","Keep manifest as source authority; runtime build authority is governed separately by gameplay/placement systems."
"LB_SPOT_C_GUN_INTAKE_V002","Standalone resistance spot-weld C-gun","WeldShop","Meshy Industrial Spot Welding 08120703-04","True","standalone spot-weld C-gun tool","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","NOT_IMPORTED","2","SourceAssets/Candidate/WeldShop/SpotRobot_v002/Authorities/TexturedBranch/Meshy_AI_Industrial_Spot_Weldi_0812070409_texture.blend","SourceAssets/Candidate/WeldShop/SpotRobot_v002/MANIFEST_v002.json","SourceAssets/Candidate/WeldShop/SpotRobot_v002/Audit/SPOT_C_GUN_AUDIT_v002.md","","Build optimized replaceable C-gun with flange/electrode sockets and servo slide; retain current tested v001 tool until clearance gate passes."
"LB_VACUUM_PANEL_PICK_EOAT_INTAKE_V001","Universal vacuum panel-pick EOAT","WeldShop","Meshy Industrial Vacuum Lifter 08120654-55","True","standalone automotive panel-pick vacuum end-effector","CONCEPT_PASS_EXACT_BLOCKED","REFERENCE_ONLY_RUNTIME_BLOCKED","NOT_IMPORTED","3","SourceAssets/Candidate/WeldShop/VacuumPanelPickEOAT_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Industrial_Vacuum_Lif_0812065509_texture.blend","SourceAssets/Candidate/WeldShop/VacuumPanelPickEOAT_Intake_v001/MANIFEST_v001.json","SourceAssets/Candidate/WeldShop/VacuumPanelPickEOAT_Intake_v001/Audit/VACUUM_PANEL_PICK_EOAT_AUDIT_v001.md","","Rebuild from six visible cups to the specified eight, with flange root, arm pivots, contact sockets, collision and LODs."
"LB_VISION_QUALITY_GATE_INTAKE_V001","Body geometry and quality inspection gate","WeldShop","Meshy Industrial Vision Gate 08120650-51","True","drive-through BIW vision/metrology gate","PASS","REFERENCE_ONLY_RUNTIME_BLOCKED","NOT_IMPORTED","3","SourceAssets/Candidate/WeldShop/VisionQualityGate_Intake_v001/Authority/GenerateTextureBranch/Meshy_AI_Industrial_Vision_Gat_0812065138_texture.blend","SourceAssets/Candidate/WeldShop/VisionQualityGate_Intake_v001/MANIFEST_v001.json","SourceAssets/Candidate/WeldShop/VisionQualityGate_Intake_v001/Audit/VISION_QUALITY_GATE_AUDIT_v001.md","","Modular rebuild at approved 4.5 x 1.2 x 3.2 m envelope with aimed scanner heads and gameplay trigger."
"LB_WELD_ROBOT_RUNTIME_V001","Shared articulated weld robot and MIG/spot/panel-pick tools","WeldShop","MIGRobot_v001 + SpotRobot_v001 controlled rebuild","False","runtime-oriented shared robot platform","PASS","RUNTIME_CANDIDATE_NOT_IMPORTED","ROUND_TRIP_TESTED_NOT_UNREAL_APPROVED","0","SourceAssets/Candidate/WeldShop/WeldRobotRuntime_v001/Working/LB_WeldRobotRuntime_v001.blend","SourceAssets/Candidate/WeldShop/WeldRobotRuntime_v001/Audit/implementation_manifest_v001.json","SourceAssets/Candidate/WeldShop/WeldRobotRuntime_v001/Audit/master_validation_v001.json","","Import and validate in Unreal; later replace procedural panel-pick/C-gun heads only after new optimized tools pass."
